Cod_setor;Cod_Grandes Regiões;Nome_Grande_Regiao;Cod_UF;Nome_da_UF ;Cod_meso;Nome_da_meso;Cod_micro;Nome_da_micro;Cod_RM;Nome_da_RM;Cod_municipio;Nome_do_municipio;Cod_distrito;Nome_do_distrito;Cod_subdistrito;Nome_do_subdistrito;Cod_bairro;Nome_do_bairro;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154
354990405000011;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904005;Setor Socioeconômico 03;1;197;194;174;174;0;20;3;17;0;174;3;0;3;454;215;239;454;454;0;0;0;215;215;0;0;0;239;239;0;0;0;9;4;11;1;3;4;2;4;3;3;2;7;7;4;10;4;5;5;7;7;3;8;3;6;9;50;39;26;26;31;36;31;26;17;11;10;16;3;1;0;0;6;1;5;0;1;3;1;2;3;1;2;2;2;2;6;2;2;2;5;4;1;4;2;5;6;24;18;12;12;13;19;14;10;5;6;5;6;1;0;0;0;3;3;6;1;2;1;1;2;0;2;0;5;5;2;4;2;3;3;2;3;2;4;1;1;3;26;21;14;14;18;17;17;16;12;5;5;10;2;1;0;0
354990405000012;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904005;Setor Socioeconômico 03;1;214;213;198;195;3;15;3;12;1;199;0;0;0;574;270;304;574;562;11;1;0;270;265;5;0;0;304;297;6;1;0;4;7;5;3;5;4;4;8;4;8;6;4;8;9;6;3;4;3;4;11;16;7;9;8;12;48;50;37;35;39;42;36;33;25;20;15;17;9;6;0;0;2;4;2;1;4;2;1;3;2;4;1;3;4;3;5;1;2;1;1;8;8;4;5;6;6;22;30;21;17;14;19;18;14;8;9;6;5;0;4;0;0;2;3;3;2;1;2;3;5;2;4;5;1;4;6;1;2;2;2;3;3;8;3;4;2;6;26;20;16;18;25;23;18;19;17;11;9;12;9;2;0;0
354990405000013;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904005;Setor Socioeconômico 03;1;128;125;103;103;0;22;8;14;1;104;2;1;1;296;142;154;287;284;0;3;9;133;131;0;2;9;154;153;0;1;0;2;1;1;4;1;2;4;2;5;2;1;4;4;2;5;3;2;6;4;4;5;3;2;5;8;31;27;17;13;21;22;26;10;13;15;8;5;3;1;1;1;1;1;0;2;0;1;2;0;2;1;0;1;2;1;1;1;1;4;1;4;3;3;1;2;6;15;14;8;9;9;9;15;2;6;6;2;4;2;0;0;0;1;0;1;2;1;1;2;2;3;1;1;3;2;1;4;2;1;2;3;0;2;0;1;3;2;16;13;9;4;12;13;11;8;7;9;6;1;1;1;1;1
354990405000014;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904005;Setor Socioeconômico 03;1;170;168;158;158;0;10;0;10;0;158;2;0;2;463;203;260;463;463;0;0;0;203;203;0;0;0;260;260;0;0;0;9;5;2;7;6;3;4;6;5;5;6;8;10;5;8;6;6;5;11;9;7;9;4;3;8;44;27;28;19;33;39;25;25;21;15;13;10;4;2;1;0;6;4;2;4;2;0;2;2;4;1;5;3;5;3;5;2;3;2;3;3;2;2;0;1;5;23;11;15;7;12;19;11;11;7;4;5;5;2;0;0;0;3;1;0;3;4;3;2;4;1;4;1;5;5;2;3;4;3;3;8;6;5;7;4;2;3;21;16;13;12;21;20;14;14;14;11;8;5;2;2;1;0
354990405000015;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904005;Setor Socioeconômico 03;1;207;207;190;190;0;17;2;15;0;190;0;0;0;646;303;343;646;646;0;0;0;303;303;0;0;0;343;343;0;0;0;10;6;9;10;6;8;5;7;9;9;17;14;9;11;12;8;8;16;12;10;5;11;10;11;7;63;52;42;39;36;31;38;34;28;15;15;8;4;1;0;0;7;4;5;5;2;4;3;4;2;6;4;5;4;8;7;3;3;5;7;3;3;5;8;8;1;31;28;20;16;14;13;20;18;8;8;6;4;1;0;0;0;3;2;4;5;4;4;2;3;7;3;13;9;5;3;5;5;5;11;5;7;2;6;2;3;6;32;24;22;23;22;18;18;16;20;7;9;4;3;1;0;0
354990405000016;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904005;Setor Socioeconômico 03;1;154;154;148;147;1;6;0;6;0;148;0;0;0;497;245;252;497;493;4;0;0;245;244;1;0;0;252;249;3;0;0;6;8;11;11;10;10;8;11;10;7;8;7;4;7;9;8;6;13;6;9;10;11;12;5;4;50;40;34;26;25;30;22;22;8;14;6;2;5;1;1;0;4;4;5;3;4;5;3;6;5;4;6;3;2;1;6;6;3;7;3;5;4;6;7;3;3;25;19;21;11;10;18;8;9;3;6;2;1;3;0;1;0;2;4;6;8;6;5;5;5;5;3;2;4;2;6;3;2;3;6;3;4;6;5;5;2;1;25;21;13;15;15;12;14;13;5;8;4;1;2;1;0;0
354990405000017;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904005;Setor Socioeconômico 03;1;129;129;118;118;0;11;1;10;0;118;0;0;0;436;223;213;436;436;0;0;0;223;223;0;0;0;213;213;0;0;0;6;11;5;6;4;9;7;5;10;4;9;5;13;8;13;15;6;4;9;9;13;10;6;8;12;32;27;34;35;26;17;16;15;6;9;4;4;3;1;0;0;4;7;4;4;1;6;3;4;3;0;5;3;7;5;8;10;2;0;6;4;8;5;3;5;6;20;17;15;14;11;8;8;7;4;3;1;2;0;0;0;0;2;4;1;2;3;3;4;1;7;4;4;2;6;3;5;5;4;4;3;5;5;5;3;3;6;12;10;19;21;15;9;8;8;2;6;3;2;3;1;0;0
354990405000018;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904007;Setor Socioeconômico 04;1;132;132;122;122;0;10;0;10;0;122;0;0;0;476;225;251;476;476;0;0;0;225;225;0;0;0;251;251;0;0;0;11;6;6;6;8;5;6;8;9;9;14;10;11;8;14;8;5;17;5;9;6;10;6;10;10;45;33;27;32;26;30;16;12;15;9;6;3;5;0;0;0;3;2;3;3;2;2;3;4;6;4;8;5;5;4;7;3;2;9;2;5;3;2;4;4;7;24;20;13;15;12;14;8;3;7;3;3;0;1;0;0;0;8;4;3;3;6;3;3;4;3;5;6;5;6;4;7;5;3;8;3;4;3;8;2;6;3;21;13;14;17;14;16;8;9;8;6;3;3;4;0;0;0
354990405000019;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904005;Setor Socioeconômico 03;1;245;245;224;224;0;21;1;20;0;224;0;0;0;721;341;380;721;721;0;0;0;341;341;0;0;0;380;380;0;0;0;7;8;11;6;4;8;11;9;8;11;7;12;10;10;7;11;8;8;12;10;14;8;17;12;12;60;45;54;58;52;49;38;32;38;22;14;14;2;2;0;0;2;3;6;4;4;4;7;6;5;5;4;8;5;4;0;6;1;5;7;4;5;4;10;6;4;28;16;27;26;28;21;18;18;15;11;7;5;1;1;0;0;5;5;5;2;0;4;4;3;3;6;3;4;5;6;7;5;7;3;5;6;9;4;7;6;8;32;29;27;32;24;28;20;14;23;11;7;9;1;1;0;0
354990405000020;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904007;Setor Socioeconômico 04;1;211;211;180;175;5;31;0;31;0;180;0;0;0;706;351;355;706;688;18;0;0;351;343;8;0;0;355;345;10;0;0;13;11;11;12;19;16;10;9;13;7;18;13;12;9;13;6;12;15;6;12;10;22;24;8;22;70;67;53;47;30;28;22;19;9;15;11;4;5;3;0;0;7;8;4;11;9;10;5;4;7;4;7;5;6;3;5;3;8;7;0;6;3;11;12;5;12;38;40;24;23;15;14;11;7;4;6;4;2;0;1;0;0;6;3;7;1;10;6;5;5;6;3;11;8;6;6;8;3;4;8;6;6;7;11;12;3;10;32;27;29;24;15;14;11;12;5;9;7;2;5;2;0;0
354990405000021;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904007;Setor Socioeconômico 04;1;227;227;216;213;3;11;3;8;0;216;0;0;0;667;320;347;667;657;10;0;0;320;315;5;0;0;347;342;5;0;0;4;5;5;9;10;3;4;8;6;3;4;8;14;5;9;12;8;9;10;14;12;12;7;11;10;65;45;52;41;53;45;37;33;31;26;22;5;7;2;1;0;0;4;2;4;4;1;1;5;4;2;2;3;7;3;2;5;4;6;5;7;3;5;2;6;5;38;22;31;16;21;29;16;11;14;15;7;2;5;1;0;0;4;1;3;5;6;2;3;3;2;1;2;5;7;2;7;7;4;3;5;7;9;7;5;5;5;27;23;21;25;32;16;21;22;17;11;15;3;2;1;1;0
354990405000022;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904007;Setor Socioeconômico 04;1;233;229;206;202;4;23;5;18;0;206;4;1;3;654;312;342;653;644;9;0;1;312;305;7;0;0;341;339;2;0;1;8;7;7;2;5;5;7;5;9;9;4;12;11;11;14;12;7;7;13;15;8;14;8;7;20;55;41;54;44;44;41;37;29;27;17;23;9;4;2;0;0;3;5;4;2;2;2;4;3;5;4;2;7;7;7;5;6;5;2;6;7;3;7;1;2;10;28;25;24;17;21;19;18;14;11;6;14;3;1;0;0;0;5;2;3;0;3;3;3;2;4;5;2;5;4;4;9;6;2;5;7;8;5;7;7;5;10;27;16;30;27;23;22;19;15;16;11;9;6;3;2;0;0
354990405000023;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904007;Setor Socioeconômico 04;1;252;252;208;204;4;44;4;40;0;208;0;0;0;611;298;313;611;598;13;0;0;298;291;7;0;0;313;307;6;0;0;2;10;7;6;7;7;4;11;5;5;8;10;4;6;8;10;7;7;10;12;8;11;6;11;11;48;49;43;34;67;37;44;33;19;17;13;10;2;2;0;0;1;2;3;4;1;2;1;8;2;3;1;6;3;3;6;4;3;5;7;5;8;8;5;5;6;21;23;24;17;35;15;24;16;6;8;4;2;1;0;0;0;1;8;4;2;6;5;3;3;3;2;7;4;1;3;2;6;4;2;3;7;0;3;1;6;5;27;26;19;17;32;22;20;17;13;9;9;8;1;2;0;0
354990405000024;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904007;Setor Socioeconômico 04;1;156;156;143;139;4;13;1;12;0;143;0;0;0;438;211;227;438;421;17;0;0;211;200;11;0;0;227;221;6;0;0;6;6;4;7;2;5;10;6;5;5;9;6;5;3;3;6;5;13;9;2;5;7;10;11;4;44;42;25;24;34;30;25;18;14;15;9;1;3;0;0;0;4;3;0;3;2;3;3;2;2;3;2;2;3;1;3;5;4;7;4;1;2;6;4;6;0;24;17;13;11;17;15;13;11;7;4;3;1;0;0;0;0;2;3;4;4;0;2;7;4;3;2;7;4;2;2;0;1;1;6;5;1;3;1;6;5;4;20;25;12;13;17;15;12;7;7;11;6;0;3;0;0;0
354990405000025;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904005;Setor Socioeconômico 03;1;84;83;67;67;0;16;1;15;0;67;1;0;1;241;119;122;241;241;0;0;0;119;119;0;0;0;122;122;0;0;0;2;2;1;2;3;4;3;4;4;4;3;4;6;6;12;3;10;2;4;3;2;6;4;2;3;20;19;20;16;20;13;9;5;5;4;6;2;1;2;0;0;2;1;1;0;0;3;0;1;2;3;3;3;3;4;6;1;4;2;1;1;1;5;0;1;2;11;10;11;5;11;7;4;3;2;2;1;1;0;1;0;0;0;1;0;2;3;1;3;3;2;1;0;1;3;2;6;2;6;0;3;2;1;1;4;1;1;9;9;9;11;9;6;5;2;3;2;5;1;1;1;0;0
354990405000026;3;Região Sudeste;35;São Paulo;3513;Vale do Paraíba Paulista;35050;São José dos Campos;0;Municípios não pertencentes a estrutura de RM;3549904;SÃO JOSÉ DOS CAMPOS;354990405;SÃO JOSÉ DOS CAMPOS;35499040500;SÃO JOSÉ DOS CAMPOS;3549904005;Setor Socioeconômico 03;1;45;45;43;41;2;2;0;2;0;43;0;0;0;162;78;84;162;157;5;0;0;78;76;2;0;0;84;81;3;0;0;4;3;2;8;2;4;1;3;1;6;3;6;1;2;3;2;2;3;6;3;2;5;2;5;4;13;12;8;14;10;4;9;3;1;1;2;0;1;1;0;0;1;1;0;5;2;3;0;3;1;3;2;4;0;1;2;1;1;0;2;1;0;2;1;3;2;7;8;5;6;4;0;6;0;0;0;1;0;0;0;0;0;3;2;2;3;0;1;1;0;0;3;1;2;1;1;1;1;1;3;4;2;2;3;1;2;2;6;4;3;8;6;4;3;3;1;1;1;0;1;1;0;0
